City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
provideniya,0,RU,1604429736,88,64.38,-173.3,16.21,9.31
arraial do cabo,75,BR,1604429985,56,-22.97,-42.03,75.2,18.34
tubuala,75,PA,1604429985,94,9.52,-79.03,78.01,13.87
sivaki,0,RU,1604429985,92,52.63,126.75,8.83,10.58
dalnerechensk,26,RU,1604429985,78,45.93,133.72,22.8,13.62
bealanana,19,MG,1604429986,90,-14.55,48.73,59.54,3.53
ilulissat,75,GL,1604429712,52,69.22,-51.1,44.6,21.92
georgetown,20,MY,1604429780,94,5.41,100.34,77.0,2.24
bandarbeyla,7,SO,1604429986,80,9.49,50.81,76.62,18.95
hegang,100,CN,1604429986,79,47.4,130.37,19.83,5.99
saskylakh,95,RU,1604429986,92,71.92,114.08,-1.32,3.85
paita,0,PE,1604429986,57,-5.09,-81.11,77.0,16.11
hobart,40,AU,1604429832,55,-42.88,147.33,70.0,5.82
santiago del estero,0,AR,1604429722,19,-27.8,-64.26,92.53,11.32
kangaatsiaq,100,GL,1604429987,77,68.31,-53.46,38.98,31.76
quincy,100,US,1604429956,38,42.25,-71.0,44.6,13.87
vic,100,ES,1604429987,95,41.93,2.25,55.99,3.65
boguchany,100,RU,1604429987,97,58.38,97.45,26.56,5.32
vanavara,100,RU,1604429987,97,60.34,102.28,22.33,7.9
byron bay,29,AU,1604429712,87,-28.65,153.62,57.99,6.93
okhotsk,100,RU,1604429708,93,59.38,143.3,28.49,22.64
cape town,20,ZA,1604429687,88,-33.93,18.42,68.0,16.11
klaksvik,100,FO,1604429987,75,62.23,-6.59,42.8,26.4
akyab,0,MM,1604429987,85,20.15,92.9,77.09,3.71
sambava,99,MG,1604429987,87,-14.27,50.17,72.82,13.04
ambilobe,97,MG,1604429988,76,-13.2,49.05,72.82,3.09
adrar,0,MR,1604429988,14,20.5,-10.07,85.15,5.12
saint-philippe,90,RE,1604429695,56,-21.36,55.77,73.4,10.29
ust-ishim,90,RU,1604429988,94,57.69,71.17,26.83,8.25
luderitz,0,NA,1604429988,86,-26.65,15.16,60.67,6.08
alofi,6,NU,1604429701,88,-19.06,-169.92,75.2,13.87
menzelinsk,90,RU,1604429988,100,55.73,53.1,28.4,4.47
lusaka,0,ZM,1604429988,44,-15.41,28.29,73.65,5.35
kiunga,100,PG,1604429989,99,-6.12,141.29,73.44,1.97
tomatlan,80,MX,1604429989,28,19.93,-105.25,93.96,2.39
tuktoyaktuk,90,CA,1604429989,92,69.45,-133.04,10.4,13.87
gravelbourg,2,CA,1604429717,21,49.88,-106.55,62.6,18.34
tahta,0,EG,1604429989,38,26.77,31.5,82.4,12.75
pisco,0,PE,1604429989,68,-13.7,-76.22,69.8,11.41
yatou,0,CN,1604429784,68,37.15,122.38,39.49,4.59
dikson,0,RU,1604429941,92,73.51,80.55,3.49,8.7
bathsheba,40,BB,1604429989,70,13.22,-59.52,86.0,21.92
salalah,0,OM,1604429733,50,17.02,54.09,77.0,4.7
kabare,68,CD,1604429990,79,-2.47,28.82,63.41,0.67
caceres,7,ES,1604429990,75,39.52,-6.37,60.01,4.0
khatanga,92,RU,1604429720,95,71.97,102.5,3.94,4.76
guangzhou,75,CN,1604429962,49,23.12,113.25,73.0,8.95
leningradskiy,9,RU,1604429721,86,69.38,178.42,8.35,24.09
sohag,0,EG,1604429990,38,26.56,31.69,75.2,12.75
amapa,100,BR,1604429990,47,1.0,-52.0,91.9,3.11
tambacounda,0,SN,1604429990,46,13.75,-13.76,93.2,4.7
padang,100,ID,1604429991,85,-0.95,100.35,75.78,6.11
yellowknife,75,CA,1604429751,77,62.46,-114.35,5.0,12.75
mogadishu,3,SO,1604429943,83,2.04,45.34,79.56,10.07
prince george,1,CA,1604429933,81,53.92,-122.75,46.99,14.99
puerto ayora,75,EC,1604429917,69,-0.74,-90.35,77.0,17.22
duzce,68,TR,1604429991,72,40.84,31.16,52.43,0.16
portland,90,US,1604429991,93,45.52,-122.68,52.0,9.17
korem,0,ET,1604429991,54,12.51,39.52,52.38,2.71
kaitangata,0,NZ,1604429991,83,-46.28,169.85,52.0,4.0
chokurdakh,0,RU,1604429991,84,70.63,147.92,-15.36,6.67
saint-pierre,90,RE,1604429992,56,-21.34,55.48,73.4,10.29
guerrero negro,4,MX,1604429992,44,27.98,-114.06,80.85,10.25
buchanan,96,LR,1604429992,85,5.88,-10.05,79.72,6.46
beidao,100,CN,1604429992,76,34.57,105.89,45.72,3.38
hernani,40,ES,1604429992,67,43.27,-1.98,57.2,3.36
makokou,100,GA,1604429992,93,0.57,12.86,72.63,0.92
srednekolymsk,4,RU,1604429992,82,67.45,153.68,-6.99,6.33
svetlogorsk,57,BY,1604429992,92,52.63,29.73,42.93,6.08
porto santo,40,PT,1604429992,63,33.07,-16.34,66.2,14.99
avera,40,US,1604429760,22,33.19,-82.53,64.4,6.93
novyy oskol,0,RU,1604429993,92,50.76,37.87,46.22,3.89
oranjemund,13,NA,1604429993,87,-28.55,16.43,61.48,5.06
san quintin,100,MX,1604429710,57,30.48,-115.95,73.17,9.8
carmarthen,75,GB,1604429993,81,51.86,-4.31,46.4,10.29
saint-louis,0,SN,1604429993,24,16.33,-15.0,95.0,2.24
kumbo,65,CM,1604429993,83,6.2,10.67,62.04,2.24
comodoro rivadavia,0,AR,1604429993,56,-45.87,-67.5,68.0,5.82
natal,40,BR,1604429980,66,-5.79,-35.21,86.0,13.87
kuytun,100,RU,1604429994,99,54.34,101.5,27.57,2.95
lobito,38,AO,1604429994,83,-12.35,13.55,76.77,9.42
barcelos,0,PT,1604429994,62,41.54,-8.62,55.4,13.87
oak harbor,90,US,1604429706,81,48.29,-122.64,53.01,23.04
kandrian,100,PG,1604429994,84,-6.22,149.55,78.3,3.11
panaba,100,MX,1604429994,81,21.28,-88.27,76.91,14.99
sistranda,40,NO,1604429994,70,63.73,8.83,44.6,11.41
gazanjyk,3,TM,1604429994,24,39.24,55.52,63.57,15.35
belmopan,100,BZ,1604429885,89,17.25,-88.77,72.0,3.4
mae sai,75,TH,1604429995,94,20.43,99.88,75.99,4.7
lingyuan,60,CN,1604429995,63,41.24,119.4,26.78,3.18
shahr-e babak,0,IR,1604429995,36,30.12,55.12,52.63,6.53
ronne,61,DK,1604429814,81,55.1,14.71,51.8,16.11
atar,0,MR,1604429996,24,20.52,-13.05,95.0,9.17
nabire,100,ID,1604429996,88,-3.37,135.48,75.83,4.27
port hedland,0,AU,1604429996,83,-20.32,118.57,71.6,9.17
mazamari,45,PE,1604429996,64,-11.33,-74.53,81.12,2.84
airai,61,TL,1604429996,91,-8.93,125.41,60.91,0.87
havoysund,75,NO,1604429996,75,71.0,24.66,44.6,27.51
nikolskoye,0,RU,1604429996,87,59.7,30.79,50.0,8.95
kuching,40,MY,1604429996,100,1.55,110.33,75.2,2.24
jiujiang,94,CN,1604429997,46,29.73,115.98,57.78,12.01
ziguinchor,0,SN,1604429997,79,12.58,-16.27,89.6,4.7
hokitika,100,NZ,1604429997,96,-42.72,170.97,57.04,5.82
tarakan,100,ID,1604429997,81,3.3,117.63,80.42,7.83
mobaye,100,CF,1604429997,92,4.32,21.18,73.44,3.18
saint-augustin,99,CA,1604429704,83,51.23,-58.65,28.67,10.98
fairbanks,40,US,1604429720,74,64.84,-147.72,-23.8,3.36
jerantut,100,MY,1604429997,94,3.94,102.36,74.12,1.28
freeport,40,US,1604429818,40,40.66,-73.58,55.0,12.75
cabo san lucas,40,MX,1604429998,74,22.89,-109.91,86.0,6.93
male,75,MV,1604429998,79,4.17,73.51,84.2,5.82
jutai,84,BR,1604429998,56,-5.18,-68.9,90.95,1.16
inuvik,98,CA,1604429839,84,68.35,-133.72,3.2,3.36
lompoc,40,US,1604429998,82,34.64,-120.46,62.6,3.36
puerto ayacucho,75,VE,1604429998,71,5.66,-67.62,86.94,4.61
iskateley,100,RU,1604429998,93,67.68,53.15,38.21,17.6
kavieng,100,PG,1604429998,76,-2.57,150.8,83.21,7.58
severo-yeniseyskiy,99,RU,1604429999,98,60.37,93.04,17.33,6.53
entre rios,100,BR,1604429999,88,-11.94,-38.08,76.89,8.03
elizabeth city,1,US,1604429999,45,36.29,-76.25,62.6,6.93
chara,70,RU,1604429999,80,56.91,118.26,5.56,1.41
north platte,1,US,1604429999,24,41.12,-100.77,73.99,10.29
kaa-khem,100,RU,1604429999,96,51.68,94.73,27.39,0.63
mercedes,12,AR,1604429999,43,-34.65,-59.43,80.01,5.99
riyadh,0,SA,1604429897,30,24.69,46.72,71.6,6.33
hamilton,1,US,1604429994,36,39.18,-84.53,63.0,5.82
kawalu,52,ID,1604430000,91,-7.38,108.21,72.41,1.43
clovis,1,US,1604430000,37,36.83,-119.7,75.99,0.92
nkongsamba,100,CM,1604430000,91,4.95,9.94,69.24,1.19
cayenne,0,GF,1604430000,74,4.93,-52.33,84.2,10.29
caravelas,100,BR,1604430001,93,-17.71,-39.25,65.84,7.85
shetpe,97,KZ,1604430001,63,44.17,52.12,56.34,5.68
kotli loharan,0,PK,1604430003,72,32.59,74.49,64.4,4.27
vardo,0,NO,1604430004,73,70.37,31.11,37.4,24.16
korla,0,CN,1604429724,65,41.76,86.15,38.5,2.75
vila velha,90,BR,1604430005,64,-20.33,-40.29,73.4,2.24
lukovetskiy,90,RU,1604430006,93,64.3,41.92,48.2,11.18
del rio,1,US,1604430007,40,29.36,-100.9,73.4,13.87
paamiut,100,GL,1604430007,94,61.99,-49.67,35.37,34.83
kilindoni,10,TZ,1604430008,78,-7.91,39.67,79.05,14.7
opuwo,0,NA,1604430009,23,-18.06,13.84,74.41,11.39
sterling,20,US,1604429961,26,39.01,-77.43,63.0,18.34
sorland,40,NO,1604430009,81,67.67,12.69,46.4,25.28
itoman,20,JP,1604429743,60,26.12,127.67,69.8,21.92
bud,1,US,1604430009,33,39.45,-86.18,64.0,5.82
upernavik,100,GL,1604430010,87,72.79,-56.15,18.73,19.1
laguna,1,US,1604430010,55,38.42,-121.42,71.01,5.82
flinders,43,AU,1604430011,87,-34.58,150.86,60.01,1.01
sandy bay,40,AU,1604430011,55,-42.91,147.35,70.0,5.82
san antonio,1,US,1604429908,30,29.42,-98.49,75.99,7.25
nouadhibou,2,MR,1604430011,64,20.93,-17.03,73.4,16.11
takaka,100,NZ,1604430012,92,-40.85,172.8,62.01,11.01
sitka,20,US,1604430013,80,57.05,-135.33,35.6,5.82
beyneu,72,KZ,1604430013,35,45.32,55.2,56.91,17.54
zapolyarnyy,0,RU,1604430014,87,69.42,30.81,37.4,27.51
konigs wusterhausen,0,DE,1604430014,81,52.3,13.63,50.0,4.7
astana,90,KZ,1604429796,68,51.18,71.45,28.4,6.71
bhawanipatna,0,IN,1604430015,75,19.9,83.17,70.81,0.78
fortuna,1,US,1604430015,66,40.6,-124.16,59.0,4.76
hay river,100,CA,1604430003,85,60.82,-115.8,15.8,13.87
kayerkan,0,RU,1604430016,76,69.35,87.76,-7.6,4.47
songea,5,TZ,1604430016,53,-10.68,35.65,73.4,5.82
nhulunbuy,100,AU,1604430016,88,-12.23,136.77,73.4,6.08
severo-kurilsk,37,RU,1604430016,84,50.68,156.12,42.17,11.45
payyannur,75,IN,1604430017,88,12.1,75.2,78.8,2.24
duekoue,90,CI,1604430017,66,6.75,-7.35,81.05,1.74
maturin,100,VE,1604430017,83,9.75,-63.18,80.46,7.45
raudeberg,75,NO,1604430018,87,61.99,5.14,46.0,33.33
beira,20,MZ,1604430018,78,-19.84,34.84,78.8,16.11
alice springs,0,AU,1604430008,19,-23.7,133.88,69.8,6.44
shellbrook,90,CA,1604430018,70,53.22,-106.4,44.6,2.24
bilibino,0,RU,1604430019,86,68.05,166.44,-13.72,2.86
sept-iles,100,CA,1604429877,49,50.2,-66.38,26.6,11.41
faanui,76,PF,1604429980,83,-16.48,-151.75,78.84,20.74
roald,40,NO,1604429815,66,62.58,6.13,48.2,23.04
moyo,92,UG,1604430019,76,3.66,31.72,70.81,0.4
saint simons,1,US,1604430020,34,31.14,-81.39,68.0,6.93
mzimba,22,MW,1604430020,49,-11.9,33.6,69.69,11.41
tateyama,75,JP,1604430020,63,34.98,139.87,62.6,14.99
matamoros,5,MX,1604429850,30,25.53,-103.25,71.6,8.43
pringsewu,97,ID,1604430020,91,-5.36,104.97,73.36,5.12
sisimiut,43,GL,1604430021,84,66.94,-53.67,35.78,7.74
meulaboh,100,ID,1604430021,90,4.14,96.13,76.21,5.7
broome,75,US,1604430021,64,42.25,-75.83,45.0,16.11
sorsk,100,RU,1604430021,93,54.0,90.25,25.16,1.86
namatanai,99,PG,1604429738,80,-3.67,152.43,80.92,5.91
vikersund,96,NO,1604430021,85,59.97,9.99,46.0,6.08
kahului,40,US,1604429992,61,20.89,-156.47,80.6,10.94
harper,25,LR,1604430022,84,4.38,-7.72,79.65,9.55
bambanglipuro,100,ID,1604430022,79,-7.95,110.28,78.04,2.21
poum,100,NC,1604430022,81,-20.23,164.02,76.62,11.43
olafsvik,100,IS,1604429743,75,64.89,-23.71,41.56,14.05
hasaki,75,JP,1604430023,58,35.73,140.83,53.6,14.99
tshane,99,BW,1604430023,47,-24.02,21.87,74.75,20.31
tahe,9,CN,1604430023,87,52.33,124.73,10.74,5.26
dakar,0,SN,1604430023,66,14.69,-17.44,86.0,6.93
bilma,0,NE,1604430023,20,18.69,12.92,74.05,6.33
yendi,45,GH,1604430023,36,9.44,-0.01,84.49,1.99
bukama,5,CD,1604430024,70,-9.2,25.85,76.06,0.56
junction city,1,US,1604430024,33,39.03,-96.83,75.99,9.17
newark,90,US,1604429864,50,40.74,-74.17,55.4,14.99
belmonte,75,BR,1604429788,88,-15.86,-38.88,68.0,4.7
palmer,40,US,1604430025,30,42.16,-72.33,44.01,20.8
khasan,0,RU,1604430025,75,42.43,130.64,32.92,20.07
touros,20,BR,1604430025,62,-5.2,-35.46,86.0,16.11
anshun,100,CN,1604430027,75,26.25,105.93,46.06,3.85
buin,0,CL,1604429750,19,-33.73,-70.75,87.8,6.93
nizhnyaya tavda,5,RU,1604430027,95,57.67,66.17,27.21,9.42
cauquenes,0,CL,1604430027,31,-35.97,-72.32,80.24,6.44
mayo,1,US,1604429781,36,38.89,-76.51,62.01,8.05
aklavik,90,CA,1604430028,84,68.22,-135.01,1.4,8.05
gat,30,IL,1604430028,100,31.61,34.76,72.0,5.48
nalut,100,LY,1604430028,39,30.33,10.85,66.29,7.25
toktogul,0,KG,1604430029,43,41.87,72.94,47.05,3.2
manggar,100,ID,1604430029,84,-2.88,108.27,79.61,7.56
urucara,43,BR,1604430029,34,-2.54,-57.76,98.47,2.24
micco,14,US,1604430029,62,27.88,-80.5,75.99,1.99
tpig,4,RU,1604430030,55,41.78,47.59,46.74,4.52
stokmarknes,40,NO,1604429889,70,68.56,14.91,46.4,14.99
pangnirtung,90,CA,1604430030,46,66.15,-65.71,28.4,16.11
paris,0,FR,1604429593,87,48.85,2.35,46.99,4.7
esperance,0,AU,1604429736,93,-33.87,121.9,51.8,3.36
noumea,0,NC,1604429958,94,-22.28,166.46,77.0,4.7
horki,97,BY,1604430031,89,54.29,30.98,44.4,8.88
talcahuano,90,CL,1604430031,82,-36.72,-73.12,57.2,6.93
miyako,0,JP,1604430031,67,39.64,141.95,41.79,9.31
ostrovnoy,5,RU,1604430031,87,68.05,39.51,38.44,16.24
steinbach,40,DE,1604430031,71,50.17,8.57,55.0,9.17
formosa,0,AR,1604430033,25,-26.18,-58.18,89.6,9.17
vung tau,95,VN,1604429950,82,10.35,107.08,78.8,4.5
monrovia,89,LR,1604430033,82,6.3,-10.8,80.31,5.97
marang,20,MY,1604430033,94,5.21,103.21,77.0,3.36
egvekinot,0,RU,1604430033,81,66.32,-179.17,6.31,7.07
sezana,90,SI,1604430034,87,45.71,13.87,57.2,0.83
mamburao,98,PH,1604430034,77,13.25,120.67,75.99,3.74
malinovoye ozero,99,RU,1604430034,96,51.68,79.78,28.11,8.03
taunggyi,0,MM,1604430034,100,20.78,97.03,60.35,2.8
mount gambier,90,AU,1604430035,93,-37.83,140.77,57.2,8.05
khirkiya,0,IN,1604430035,40,22.17,76.86,67.23,3.0
naryan-mar,100,RU,1604430035,92,67.67,53.09,38.34,17.67
umm kaddadah,82,SD,1604430035,18,13.6,26.69,86.4,22.15
brae,40,GB,1604430036,76,60.4,-1.35,48.2,28.86
henties bay,95,NA,1604430036,85,-22.12,14.28,60.01,6.89
husavik,40,IS,1604430036,80,66.04,-17.34,35.6,3.36
ubinskoye,100,RU,1604430037,94,55.31,79.68,27.37,9.66
bosaso,0,SO,1604430037,70,11.28,49.18,76.35,2.77
vysokogornyy,100,RU,1604430037,93,50.12,139.15,15.82,13.31
sabang,73,ID,1604430037,78,5.89,95.32,81.41,6.89
clyde river,75,CA,1604430037,92,70.47,-68.59,15.8,34.45
mount isa,47,AU,1604429832,37,-20.73,139.5,71.6,5.82
rudnya,99,RU,1604430038,89,54.95,31.09,44.91,10.76
denpasar,59,ID,1604430038,79,-8.65,115.22,78.1,3.33
mandurah,86,AU,1604430038,76,-32.55,115.7,57.0,12.82
vestmannaeyjar,75,IS,1604430038,72,63.44,-20.27,41.0,17.22
san bernardo,0,CL,1604430038,19,-33.6,-70.72,87.8,6.93
vila franca do campo,75,PT,1604430039,59,37.72,-25.43,62.6,17.22
phangnga,75,TH,1604430039,94,8.45,98.53,77.0,3.36
kushima,0,JP,1604430039,60,31.46,131.23,49.41,7.76
te anau,29,NZ,1604430040,78,-45.42,167.72,47.01,0.13
bethel,100,US,1604430040,57,41.37,-73.41,46.99,1.99
marrakesh,75,MA,1604430009,46,31.63,-8.01,73.4,8.05
vostok,100,RU,1604430040,97,46.49,135.88,12.16,13.22
homer,1,US,1604430040,52,59.64,-151.55,21.0,9.17
shaoguan,2,CN,1604430040,74,24.8,113.58,59.05,1.95
secunda,50,ZA,1604430041,82,-26.55,29.17,64.99,2.04
puerto escondido,5,MX,1604430041,66,15.85,-97.07,87.8,10.29
sao felix do xingu,100,BR,1604430041,88,-6.64,-51.99,81.28,2.55
tiksi,100,RU,1604430041,95,71.69,128.87,8.74,1.88
galesong,100,ID,1604430042,78,-5.32,119.37,80.78,3.85
tuatapere,2,NZ,1604430042,95,-46.13,167.68,48.0,1.99
pitiquito,0,MX,1604430042,25,30.7,-112.08,90.0,1.01
chimbote,77,PE,1604430043,66,-9.09,-78.58,68.72,11.21
camana,89,PE,1604429789,73,-16.62,-72.71,66.79,7.81
broken hill,95,AU,1604430043,22,-31.95,141.43,75.2,10.29
krasnyy kut,100,RU,1604430043,58,50.95,46.97,46.63,9.6
aswan,0,EG,1604430043,36,24.09,32.91,73.17,11.1
grindavik,75,IS,1604430044,75,63.84,-22.43,41.0,9.17
sao filipe,18,CV,1604429763,65,14.9,-24.5,80.64,11.95
ploemeur,0,FR,1604430044,87,47.73,-3.43,45.0,3.36
fare,66,PF,1604430044,79,-16.7,-151.02,80.17,20.29
turukhansk,100,RU,1604430044,96,65.82,87.98,11.07,6.2
thibodaux,0,US,1604430045,48,29.8,-90.82,71.01,3.0
westerland,82,DE,1604430045,76,54.91,8.3,50.0,20.8
